Shipment ID	FBA176X1FK4S
Name	FBA STA (05/31/2023 10:54)-MQJ1
Plan ID	
Ship To	MQJ1
Total SKUs	11
Total Units	502

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
Auto Cup Holder Coaster	CONEATI 2-Pack Car Cup Holder Coaster, Universal Non-Slip Cup Holder Coasters for Car Interior Accessories (Black)	B0C69YBV3X	X003U308N9	--	New	No prep required	"--"	Merchant	10
Auto Seat Headrest Hook	CONEATI 4-Pack Car Seat Hooks for Purses and Bags Headrest Hook Hanger Storage Organizer for Handbag Purse clothes umbrella	B0C69WG7G3	X003U308O3	--	New	No prep required	"--"	Merchant	10
Auto Sunglass Holder	CONEATI Magnetic Sunglass Holder for Car Visor, Leather Sunglasses Holder and Ticket Card Clip, Suitable for Different Size Eyeglasses (Black)	B0C69ZHY8Q	X003U308MZ	--	New	No prep required	"--"	Merchant	10
Auto Tissue Holder	CONEATI Car Visor Tissue Holder, PU Leather Car Napkin Holder, Paper Towel Mask Dispenser for Car (Black)	B0C69ZKTRK	X003U308NT	--	New	No prep required	"--"	Merchant	10
Auto seat belt shoulder protection	CONEATI Car Seat Belt Protection Pad, Seat Belt Shoulder Strap Cover Protection Cover, Seat Belt Shoulder Pad, Suitable for Adults and Children, Compatible with All Cars	B0C69XZ2T1	X003U37SKP	--	New	No prep required	"--"	Merchant	10
Auto-Bag-Leather-Black	CONEATI Car Storage Pocket Between Seats Purse Holder for Car Between front Seats with 4 Pcs Seat Headrest Hook	B0C69189XC	X003U30AYV	--	New	No prep required	"--"	Merchant	16
Auto-Bag-Leather-Grey	CONEATI Car Storage Pocket Between Seats Purse Holder for Car Between front Seats with 4 Pcs Seat Headrest Hook	B0C68Z4C9R	X003U37QS9	--	New	No prep required	"--"	Merchant	16
Auto-Bag-Suede-Black	CONEATI Car Storage Pocket Between Seats Purse Holder for Car Between front Seats Car Handbag Holder Between Seats with 4 Pcs Seat Headrest Hook	B0C68XYC2Q	X003U37SKF	--	New	No prep required	"--"	Merchant	16
Auto-Bag-Suede-Black-Set	CONEATI Car Storage Pocket Organizer Between Seats Purse Holder for Car Between front Seats Car Handbag Holder with 4 Pcs Seat Headrest Hook, 2 Pcs Cup Holder Coaster and 2 Pcs Seat Belt Cover	B0C68ZR18G	X003U37QST	--	New	No prep required	"--"	Merchant	208
Auto-Bag-Suede-Grey	CONEATI Car Storage Pocket Between Seats Purse Holder for Car Between front Seats Car Handbag Holder Between Seats with 4 Pcs Seat Headrest Hook	B0C68YWYPN	X003U30AZ5	--	New	No prep required	"--"	Merchant	16
Auto-Bag-Suede-Grey-Set	CONEATI Car Storage Pocket Between Seats Purse Holder for Car Between front Seats with 4 Pcs Seat Headrest Hook, 2 Pcs Cup Holder Coaster and 2 Pcs Seat Belt Cover	B0C6923J45	X003U37SKZ	--	New	No prep required	"--"	Merchant	180
